city_or_county,state_abr,population,n_injured,n_rpts,n_killed
Mastic,NY,15481,4,5,0
Matteson,IL,19195,0,3,0
Matthews,NC,30678,6,16,2
Mattoon,IL,18113,4,17,1
Mauldin,SC,25135,2,3,1
Maumelle,AR,17931,1,10,3
Mayfield Heights,OH,18840,0,4,2
Maywood,CA,27888,1,4,4
Maywood,IL,24012,12,24,21
McAllen,TX,140269,0,1,0
McHenry,IL,26657,1,1,0
McKeesport,PA,19453,1,1,0
McKinney,TX,162898,0,1,1
Mechanicsville,VA,36348,2,4,1
Medford,MA,57403,0,3,0
Medford,NY,24142,6,12,3
Medford,OR,79805,13,129,15
Medina,OH,26339,5,15,5
Melbourne,FL,80127,42,91,9
Melrose Park,IL,25379,3,7,5
Melville,NY,18985,0,1,0
Memphis,TN,655770,1690,2384,622
Menasha,WI,17572,1,13,4
Menifee,CA,87174,0,10,5
Menlo Park,CA,33449,1,9,1
Menomonee Falls,WI,36119,2,11,2
Menomonie,WI,16305,1,8,1
Mentor,OH,46901,0,4,1
Mequon,WI,23132,1,2,0
Merced,CA,82436,42,130,29
Mercedes,TX,16657,1,2,0
Mercer Island,WA,25042,0,1,0
Meriden,CT,59988,22,36,1
Meridian,ID,90739,7,24,7
Meridian,MS,39661,167,331,45
Merrick,NY,22097,2,5,0
Merrillville,IN,35224,11,37,15
Merrimack,NH,26726,2,13,2
Merritt Island,FL,34743,4,16,3
Mesa,AZ,471825,50,107,58
Mesquite,NV,17496,0,2,0
Mesquite,TX,144788,22,36,15
Metairie,LA,138481,70,121,29
Methuen,MA,47255,5,20,2
Miami,FL,441003,587,837,325
Miami Beach,FL,92312,30,65,16
Miami Gardens,FL,113187,115,127,45
Miamisburg,OH,20034,3,10,3
Michigan City,IN,31459,19,37,11
Middle River,MD,25191,12,17,6
Middle Village,NY,29491,1,2,1
Middleburg Heights,OH,15696,0,1,1
Middleton,WI,18979,0,4,0
Middletown,CT,46756,3,20,0
Middletown,DE,20372,13,19,1
Middletown,NJ,65490,0,4,1
Middletown,NY,27812,9,23,2
Middletown,OH,48760,46,105,14
Middletown,RI,17303,0,1,1
Midland,MI,42200,2,4,3
Midland,TX,132950,10,50,15
Midlothian,TX,22318,2,2,1
Midvale,UT,32613,13,20,9
Midwest City,OK,57249,3,8,3
Milford,CT,52759,8,45,6
Milford,MA,25055,3,11,2
Mill Creek,WA,20043,2,4,0
Millbrae,CA,22795,2,2,0
Millbrook,AL,15314,7,17,3
Millcreek,UT,62139,2,6,1
Milledgeville,GA,18931,24,63,16
Millville,NJ,28230,48,94,12
Milpitas,CA,77604,1,14,6
Milton,MA,27003,2,7,0
Milwaukee,WI,600155,1570,2487,486
Milwaukie,OR,20830,1,3,1
Mineola,NY,19139,1,2,1
Minneapolis,MN,410939,408,667,149
Minnetonka,MN,51669,3,7,2
Minot,ND,49450,27,87,2
Mint Hill,NC,25627,1,3,0
Miramar,FL,137132,13,19,6
Mishawaka,IN,48261,8,25,9
Mission,TX,83298,2,8,3
Mission Bend,TX,36501,0,1,1
Mission Viejo,CA,97156,0,4,7
Missoula,MT,71022,9,62,12
Missouri City,TX,74139,11,20,10
Mitchell,SD,15669,1,11,2
Mobile,AL,194288,303,560,161
Modesto,CA,211266,97,169,50
Mokena,IL,19923,1,3,0
Moline,IL,42681,10,22,2
Monroe,LA,49598,73,150,42
Monroe,MI,20092,6,12,4
Monroe,NC,34623,7,25,9
Monroe,WA,18090,1,6,2
Monroeville,PA,28176,11,15,2
Monrovia,CA,37463,7,9,4
Montclair,CA,38690,5,7,7
Montclair,NJ,39701,6,12,0
Montebello,CA,63921,5,23,14
Monterey,CA,28338,3,9,1
Monterey Park,CA,61468,1,6,4
Montgomery,AL,200602,318,483,174
Montgomery,IL,19489,9,14,3
Montgomery Village,MD,32032,0,3,4
Montrose,CO,19062,4,11,0
Moore,OK,60451,1,7,2
Mooresville,NC,36009,13,22,2
Moorhead,MN,42005,4,24,2
Moraga,CA,17256,0,1,0
Moreno Valley,CA,204198,32,62,31
Morgan Hill,CA,42948,2,7,0
