antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Officer Involved Incident'}),"frozenset({'Officer Involved Shooting - Shots fired, no injury'})",0.07505100614577119,0.011795040825778026,0.011795040825778026,0.1571603291082944,13.324271736713364,0.010909811144272938,1.1724708664089376
frozenset({'Officer Involved Incident'}),frozenset({'Officer Involved Shooting - subject/suspect/perpetrator shot'}),0.07505100614577119,0.015424926046303983,0.015424926046303983,0.20552590615966196,13.324271736713362,0.014267269826804757,1.239279016883289
"frozenset({'Possession of gun by felon or prohibited person', 'Possession (gun(s) found during commission of other crimes)'})","frozenset({'Drug involvement', 'ATF/LE Confiscation/Raid/Arrest'})",0.037450401999357466,0.03411257650921866,0.012650358607626097,0.3377896613190731,9.902203113499448,0.01137282890412202,1.4585810082862138
"frozenset({'Drug involvement', 'ATF/LE Confiscation/Raid/Arrest'})","frozenset({'Possession of gun by felon or prohibited person', 'Possession (gun(s) found during commission of other crimes)'})",0.03411257650921866,0.037450401999357466,0.012650358607626097,0.37084148727984345,9.902203113499448,0.01137282890412202,1.5298999831363245
"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.01719814583794023,0.07506352299135921,0.012650358607626097,0.7355652595827268,9.799237103052036,0.011359405192111122,3.4977873011280884
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",0.07506352299135921,0.01719814583794023,0.012650358607626097,0.16852870879884385,9.799237103052036,0.011359405192111122,1.1820033530469696
"frozenset({'Drug involvement', 'Possession of gun by felon or prohibited person'})","frozenset({'Possession (gun(s) found during commission of other crimes)', 'ATF/LE Confiscation/Raid/Arrest'})",0.022392636756968752,0.0594842225161363,0.012650358607626097,0.5649338550400597,9.49720499224496,0.011318350020051555,2.161776521522868
"frozenset({'Possession (gun(s) found during commission of other crimes)', 'ATF/LE Confiscation/Raid/Arrest'})","frozenset({'Drug involvement', 'Possession of gun by felon or prohibited person'})",0.0594842225161363,0.022392636756968752,0.012650358607626097,0.21266746159781164,9.49720499224496,0.011318350020051555,1.241670216281149
"frozenset({'Possession of gun by felon or prohibited person', 'ATF/LE Confiscation/Raid/Arrest'})","frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)'})",0.029610684379393935,0.04501474901638455,0.012650358607626097,0.42722277018458504,9.490728694923606,0.0113174410820843,1.667289133144088
"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)'})","frozenset({'Possession of gun by felon or prohibited person', 'ATF/LE Confiscation/Raid/Arrest'})",0.04501474901638455,0.029610684379393935,0.012650358607626097,0.2810269719158402,9.490728694923606,0.0113174410820843,1.3496880657768104
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)'})",0.07506352299135921,0.04501474901638455,0.03057865377153419,0.40737035184258796,9.049708389894889,0.027199688123792545,1.6114368458493926
"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.04501474901638455,0.07506352299135921,0.03057865377153419,0.6793029937899713,9.049708389894889,0.027199688123792545,2.8841444076434177
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant'})",0.07506352299135921,0.02019384421533981,0.013526537798787534,0.18020121171696957,8.923571450555396,0.012010716709245448,1.1951788289864955
"frozenset({'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.02019384421533981,0.07506352299135921,0.013526537798787534,0.6698347107438016,8.923571450555396,0.012010716709245448,2.801434636246446
"frozenset({'Drug involvement', 'Possession of gun by felon or prohibited person'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.022392636756968752,0.07506352299135921,0.014461128936026402,0.645798397615055,8.603358487309405,0.012780258731982522,2.611327760181681
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Drug involvement', 'Possession of gun by felon or prohibited person'})",0.07506352299135921,0.022392636756968752,0.014461128936026402,0.1926518814963037,8.603358487309405,0.012780258731982522,1.2108870273394405
"frozenset({'Possession of gun by felon or prohibited person', 'Possession (gun(s) found during commission of other crimes)'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.037450401999357466,0.07506352299135921,0.02305602957313384,0.6156417112299465,8.201609606050797,0.02024487046161943,2.406443425399872
