antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Officer Involved Shooting - subject/suspect/perpetrator shot'}),frozenset({'Officer Involved Incident'}),0.01750091860561594,0.08528216008628967,0.01750091860561594,1.0,11.725781792911745,0.016008402463434677,inf
frozenset({'Officer Involved Shooting - subject/suspect/perpetrator killed'}),frozenset({'Officer Involved Incident'}),0.022781419275309068,0.08528216008628967,0.022781419275309068,1.0,11.725781792911745,0.020838570629679275,inf
frozenset({'Officer Involved Incident'}),"frozenset({'Officer Involved Shooting - Shots fired, no injury'})",0.08528216008628967,0.013779084239098226,0.013779084239098226,0.16157053509381514,11.725781792911743,0.012603974171176981,1.1762717760297867
frozenset({'Officer Involved Incident'}),frozenset({'Officer Involved Shooting - subject/suspect/perpetrator killed'}),0.08528216008628967,0.022781419275309068,0.022781419275309068,0.2671299513551077,11.725781792911743,0.020838570629679275,1.3334131781365735
frozenset({'Officer Involved Incident'}),frozenset({'Officer Involved Incident - Weapon involved but no shots fired'}),0.08528216008628967,0.020096720281626703,0.020096720281626703,0.23564975677553857,11.725781792911743,0.01838282856535963,1.282008200304336
frozenset({'Officer Involved Incident'}),frozenset({'Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff'}),0.08528216008628967,0.011112164708950182,0.011112164708950182,0.13029881862404447,11.725781792911743,0.010164495299336274,1.1370432241181148
frozenset({'Officer Involved Incident'}),frozenset({'Officer Involved Shooting - subject/suspect/perpetrator shot'}),0.08528216008628967,0.01750091860561594,0.01750091860561594,0.20521195274496176,11.725781792911743,0.016008402463434677,1.236177474972911
"frozenset({'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})","frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Drug involvement'})",0.04711557836594877,0.04379674517287565,0.016558607038296966,0.3514465408805032,8.024489936255863,0.014495098058930855,1.4743630480751821
"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Drug involvement'})","frozenset({'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",0.04379674517287565,0.04711557836594877,0.016558607038296966,0.37807848443843034,8.024489936255863,0.014495098058930855,1.5321618528885204
frozenset({'Stolen/Illegally owned gun{s} recovered during arrest/warrant'}),"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Possession of gun by felon or prohibited person'})",0.03826733201370204,0.0381428757689618,0.011473680467481361,0.29982964224872233,7.8606983926656175,0.01001405437647311,1.373747279619512
